scenario_id,G,nk,p,cov_type,design,study,signal_d,eps
S01,2,"20,20",30,identity,balanced,type1,,
S02,2,"20,20",30,ar1,balanced,type1,,
S03,2,"20,20",50,identity,balanced,type1,,
S04,2,"20,20",50,ar1,balanced,type1,,
S05,2,"30,30",50,identity,balanced,type1,,
S06,2,"30,30",50,ar1,balanced,type1,,
S07,2,"30,30",100,identity,balanced,type1,,
S08,2,"30,30",100,ar1,balanced,type1,,
S09,2,"50,50",50,identity,balanced,type1,,
S10,2,"50,50",50,ar1,balanced,type1,,
S11,2,"50,50",100,identity,balanced,type1,,
S12,2,"50,50",100,ar1,balanced,type1,,
S13,3,"20,20,20",30,identity,balanced,type1,,
S14,3,"20,20,20",30,ar1,balanced,type1,,
S15,3,"20,20,20",50,identity,balanced,type1,,
S16,3,"20,20,20",50,ar1,balanced,type1,,
S17,3,"30,30,30",50,identity,balanced,type1,,
S18,3,"30,30,30",50,ar1,balanced,type1,,
S19,3,"30,30,30",100,identity,balanced,type1,,
S20,3,"30,30,30",100,ar1,balanced,type1,,
S21,3,"50,50,50",50,identity,balanced,type1,,
S22,3,"50,50,50",50,ar1,balanced,type1,,
S23,3,"50,50,50",100,identity,balanced,type1,,
S24,3,"50,50,50",100,ar1,balanced,type1,,
S25,2,"30,20",30,identity,unbalanced,type1,,
S26,2,"30,20",30,ar1,unbalanced,type1,,
S27,2,"30,20",50,identity,unbalanced,type1,,
S28,2,"30,20",50,ar1,unbalanced,type1,,
S29,2,"50,30",50,identity,unbalanced,type1,,
S30,2,"50,30",50,ar1,unbalanced,type1,,
S31,2,"50,30",100,identity,unbalanced,type1,,
S32,2,"50,30",100,ar1,unbalanced,type1,,
S33,3,"30,20,20",30,identity,unbalanced,type1,,
S34,3,"30,20,20",30,ar1,unbalanced,type1,,
S35,3,"30,20,20",50,identity,unbalanced,type1,,
S36,3,"30,20,20",50,ar1,unbalanced,type1,,
S37,3,"50,30,20",50,identity,unbalanced,type1,,
S38,3,"50,30,20",50,ar1,unbalanced,type1,,
S39,3,"50,30,20",100,identity,unbalanced,type1,,
S40,3,"50,30,20",100,ar1,unbalanced,type1,,
