"method","eps","eta","cov_type","reject","n_scenarios","mcse","n_reps_total"
"Cheng-GM",0.2,0.6,"ar1",0.5115,NA,0.00353459863350848,20000
"Proposed",0.2,0.6,"ar1",0.21215,NA,0.00289086818706768,20000
"Schott",0.2,0.6,"ar1",1,NA,0,20000
"Cheng-GM",0.1,0.8,"ar1",0.1078,NA,0.0021929336515271,20000
"Proposed",0.1,0.8,"ar1",0.05335,NA,0.00158908428819871,20000
"Schott",0.1,0.8,"ar1",0.84475,NA,0.00256073658836671,20000
"Cheng-GM",0.2,0.6,"identity",0.52955,NA,0.00352935403083907,20000
"Proposed",0.2,0.6,"identity",0.063,NA,0.00171800756692164,20000
"Schott",0.2,0.6,"identity",1,NA,0,20000
"Cheng-GM",0.1,0.8,"identity",0.1105,NA,0.00221686433955711,20000
"Proposed",0.1,0.8,"identity",0.0436,NA,0.00144393628668304,20000
"Schott",0.1,0.8,"identity",0.91995,NA,0.00191887984902651,20000
