"scenario_id","G","nk","p","cov_type","design","eps","eta","method","false_rejection_rate","n_reps_total","mcse"
"S02",2,"20,20",30,"ar1","balanced",0.2,0.6,"Cheng-GM",0.19,1000,0.0124056438768812
"S14",3,"20,20,20",30,"ar1","balanced",0.2,0.6,"Cheng-GM",0.1,1000,0.00948683298050514
"S04",2,"20,20",50,"ar1","balanced",0.2,0.6,"Cheng-GM",0.173,1000,0.011961229033841
"S16",3,"20,20,20",50,"ar1","balanced",0.2,0.6,"Cheng-GM",0.091,1000,0.00909499862561837
"S06",2,"30,30",50,"ar1","balanced",0.2,0.6,"Cheng-GM",0.578,1000,0.015617810345884
"S18",3,"30,30,30",50,"ar1","balanced",0.2,0.6,"Cheng-GM",0.348,1000,0.0150630674166984
"S10",2,"50,50",50,"ar1","balanced",0.2,0.6,"Cheng-GM",0.988,1000,0.00344325427466518
"S22",3,"50,50,50",50,"ar1","balanced",0.2,0.6,"Cheng-GM",0.934,1000,0.00785136930732467
"S08",2,"30,30",100,"ar1","balanced",0.2,0.6,"Cheng-GM",0.58,1000,0.0156076904121013
"S20",3,"30,30,30",100,"ar1","balanced",0.2,0.6,"Cheng-GM",0.307,1000,0.0145859864253331
"S12",2,"50,50",100,"ar1","balanced",0.2,0.6,"Cheng-GM",0.998,1000,0.00141279864099595
"S24",3,"50,50,50",100,"ar1","balanced",0.2,0.6,"Cheng-GM",0.981,1000,0.00431729081716764
"S01",2,"20,20",30,"identity","balanced",0.2,0.6,"Cheng-GM",0.182,1000,0.0122014753206323
"S13",3,"20,20,20",30,"identity","balanced",0.2,0.6,"Cheng-GM",0.099,1000,0.00944452222190196
"S03",2,"20,20",50,"identity","balanced",0.2,0.6,"Cheng-GM",0.168,1000,0.0118226900492231
"S15",3,"20,20,20",50,"identity","balanced",0.2,0.6,"Cheng-GM",0.086,1000,0.00886588969026798
"S05",2,"30,30",50,"identity","balanced",0.2,0.6,"Cheng-GM",0.636,1000,0.0152152555022911
"S17",3,"30,30,30",50,"identity","balanced",0.2,0.6,"Cheng-GM",0.339,1000,0.0149692685192029
"S09",2,"50,50",50,"identity","balanced",0.2,0.6,"Cheng-GM",0.998,1000,0.00141279864099595
"S21",3,"50,50,50",50,"identity","balanced",0.2,0.6,"Cheng-GM",0.975,1000,0.00493710441453288
"S07",2,"30,30",100,"identity","balanced",0.2,0.6,"Cheng-GM",0.663,1000,0.0149476085043729
"S19",3,"30,30,30",100,"identity","balanced",0.2,0.6,"Cheng-GM",0.324,1000,0.014799459449588
"S11",2,"50,50",100,"identity","balanced",0.2,0.6,"Cheng-GM",1,1000,0
"S23",3,"50,50,50",100,"identity","balanced",0.2,0.6,"Cheng-GM",0.996,1000,0.00199599599197994
"S26",2,"30,20",30,"ar1","unbalanced",0.2,0.6,"Cheng-GM",0.336,1000,0.0149366662947259
"S34",3,"30,20,20",30,"ar1","unbalanced",0.2,0.6,"Cheng-GM",0.193,1000,0.0124800240384384
"S28",2,"30,20",50,"ar1","unbalanced",0.2,0.6,"Cheng-GM",0.29,1000,0.0143492160064583
