"scenario_id","method","eps","p","cov_type","design","rejection_rate"
"S02","Cheng-GM",0.1,30,"ar1","balanced",0.055
"S02","Proposed",0.1,30,"ar1","balanced",0.02
"S02","Schott",0.1,30,"ar1","balanced",0.62
"S02","Cheng-GM",0.2,30,"ar1","balanced",0.16
"S14","Cheng-GM",0.2,30,"ar1","balanced",0.09
"S02","Proposed",0.2,30,"ar1","balanced",0.18
"S14","Proposed",0.2,30,"ar1","balanced",0.065
"S02","Schott",0.2,30,"ar1","balanced",1
"S14","Schott",0.2,30,"ar1","balanced",1
"S04","Cheng-GM",0.1,50,"ar1","balanced",0.07
"S06","Cheng-GM",0.1,50,"ar1","balanced",0.065
"S18","Cheng-GM",0.1,50,"ar1","balanced",0.055
"S22","Cheng-GM",0.1,50,"ar1","balanced",0.115
"S04","Proposed",0.1,50,"ar1","balanced",0.08
"S06","Proposed",0.1,50,"ar1","balanced",0.04
"S18","Proposed",0.1,50,"ar1","balanced",0.03
"S22","Proposed",0.1,50,"ar1","balanced",0.1
"S04","Schott",0.1,50,"ar1","balanced",0.615
"S06","Schott",0.1,50,"ar1","balanced",0.97
"S18","Schott",0.1,50,"ar1","balanced",0.885
"S22","Schott",0.1,50,"ar1","balanced",1
"S04","Cheng-GM",0.2,50,"ar1","balanced",0.115
"S06","Cheng-GM",0.2,50,"ar1","balanced",0.545
"S10","Cheng-GM",0.2,50,"ar1","balanced",0.975
"S16","Cheng-GM",0.2,50,"ar1","balanced",0.09
"S18","Cheng-GM",0.2,50,"ar1","balanced",0.295
"S22","Cheng-GM",0.2,50,"ar1","balanced",0.94
"S04","Proposed",0.2,50,"ar1","balanced",0.11
"S06","Proposed",0.2,50,"ar1","balanced",0.405
"S10","Proposed",0.2,50,"ar1","balanced",0.825
"S16","Proposed",0.2,50,"ar1","balanced",0.065
"S18","Proposed",0.2,50,"ar1","balanced",0.135
"S22","Proposed",0.2,50,"ar1","balanced",0.33
"S04","Schott",0.2,50,"ar1","balanced",1
"S06","Schott",0.2,50,"ar1","balanced",1
"S10","Schott",0.2,50,"ar1","balanced",1
"S16","Schott",0.2,50,"ar1","balanced",1
"S18","Schott",0.2,50,"ar1","balanced",1
"S22","Schott",0.2,50,"ar1","balanced",1
"S08","Cheng-GM",0.1,100,"ar1","balanced",0.065
"S20","Cheng-GM",0.1,100,"ar1","balanced",0.065
"S24","Cheng-GM",0.1,100,"ar1","balanced",0.09
"S08","Proposed",0.1,100,"ar1","balanced",0.06
"S20","Proposed",0.1,100,"ar1","balanced",0.045
"S24","Proposed",0.1,100,"ar1","balanced",0.075
"S08","Schott",0.1,100,"ar1","balanced",0.975
"S20","Schott",0.1,100,"ar1","balanced",0.92
"S24","Schott",0.1,100,"ar1","balanced",1
"S08","Cheng-GM",0.2,100,"ar1","balanced",0.545
"S12","Cheng-GM",0.2,100,"ar1","balanced",0.99
"S20","Cheng-GM",0.2,100,"ar1","balanced",0.295
"S24","Cheng-GM",0.2,100,"ar1","balanced",0.98
"S08","Proposed",0.2,100,"ar1","balanced",0.31
"S12","Proposed",0.2,100,"ar1","balanced",0.86
"S20","Proposed",0.2,100,"ar1","balanced",0.085
"S24","Proposed",0.2,100,"ar1","balanced",0.39
"S08","Schott",0.2,100,"ar1","balanced",1
"S12","Schott",0.2,100,"ar1","balanced",1
"S20","Schott",0.2,100,"ar1","balanced",1
"S24","Schott",0.2,100,"ar1","balanced",1
"S01","Cheng-GM",0.1,30,"identity","balanced",0.03
"S01","Proposed",0.1,30,"identity","balanced",0.08
"S01","Schott",0.1,30,"identity","balanced",0.77
"S01","Cheng-GM",0.2,30,"identity","balanced",0.17
"S13","Cheng-GM",0.2,30,"identity","balanced",0.09
"S01","Proposed",0.2,30,"identity","balanced",0.055
"S13","Proposed",0.2,30,"identity","balanced",0.035
"S01","Schott",0.2,30,"identity","balanced",1
"S13","Schott",0.2,30,"identity","balanced",1
"S03","Cheng-GM",0.1,50,"identity","balanced",0.02
"S05","Cheng-GM",0.1,50,"identity","balanced",0.105
"S09","Cheng-GM",0.1,50,"identity","balanced",0.28
"S17","Cheng-GM",0.1,50,"identity","balanced",0.035
"S21","Cheng-GM",0.1,50,"identity","balanced",0.175
"S03","Proposed",0.1,50,"identity","balanced",0.05
"S05","Proposed",0.1,50,"identity","balanced",0.05
"S09","Proposed",0.1,50,"identity","balanced",0.065
"S17","Proposed",0.1,50,"identity","balanced",0.02
"S21","Proposed",0.1,50,"identity","balanced",0.025
"S03","Schott",0.1,50,"identity","balanced",0.835
"S05","Schott",0.1,50,"identity","balanced",1
