Scenario,G,Group Sizes,p,Structure,Proposed Power,Proposed MCSE,Schott Power,Schott MCSE,Cheng-GM Power,Cheng-GM MCSE
S01,2,"(20,20)",30,I,0.721,0.0142,0.996,0.002,0.485,0.0158
S02,2,"(20,20)",30,AR(1),0.404,0.0155,0.908,0.0091,0.439,0.0157
S03,2,"(20,20)",50,I,0.925,0.0083,1,0,0.512,0.0158
S04,2,"(20,20)",50,AR(1),0.618,0.0154,0.981,0.0043,0.5,0.0158
S05,2,"(30,30)",50,I,0.992,0.0028,1,0,0.805,0.0125
S06,2,"(30,30)",50,AR(1),0.775,0.0132,0.999,0.001,0.723,0.0142
S07,2,"(30,30)",100,I,1,0,1,0,0.867,0.0107
S08,2,"(30,30)",100,AR(1),0.981,0.0043,1,0,0.805,0.0125
S09,2,"(50,50)",50,I,1,0,1,0,0.982,0.0042
S10,2,"(50,50)",50,AR(1),0.964,0.0059,1,0,0.967,0.0056
S11,2,"(50,50)",100,I,1,0,1,0,0.995,0.0022
S12,2,"(50,50)",100,AR(1),1,0,1,0,0.99,0.0031
S13,3,"(20,20,20)",30,I,0.998,0.0014,1,0,0.976,0.0048
S14,3,"(20,20,20)",30,AR(1),0.922,0.0085,1,0,0.943,0.0073
S15,3,"(20,20,20)",50,I,1,0,1,0,0.995,0.0022
S16,3,"(20,20,20)",50,AR(1),0.984,0.004,1,0,0.979,0.0045
S17,3,"(30,30,30)",50,I,1,0,1,0,1,0
S18,3,"(30,30,30)",50,AR(1),1,0,1,0,1,0
S19,3,"(30,30,30)",100,I,1,0,1,0,1,0
S20,3,"(30,30,30)",100,AR(1),1,0,1,0,1,0
S21,3,"(50,50,50)",50,I,1,0,1,0,1,0
S22,3,"(50,50,50)",50,AR(1),1,0,1,0,1,0
S23,3,"(50,50,50)",100,I,1,0,1,0,1,0
S24,3,"(50,50,50)",100,AR(1),1,0,1,0,1,0
S25,2,"(30,20)",30,I,0.802,0.0126,0.999,0.001,0.594,0.0155
S26,2,"(30,20)",30,AR(1),0.455,0.0157,0.954,0.0066,0.519,0.0158
S27,2,"(30,20)",50,I,0.963,0.006,1,0,0.652,0.0151
S28,2,"(30,20)",50,AR(1),0.672,0.0148,0.992,0.0028,0.587,0.0156
S29,2,"(50,30)",50,I,0.999,0.001,1,0,0.909,0.0091
S30,2,"(50,30)",50,AR(1),0.855,0.0111,0.999,0.001,0.827,0.012
S31,2,"(50,30)",100,I,1,0,1,0,0.951,0.0068
S32,2,"(50,30)",100,AR(1),0.994,0.0024,1,0,0.92,0.0086
S33,3,"(30,20,20)",30,I,1,0,1,0,0.999,0.001
S34,3,"(30,20,20)",30,AR(1),0.978,0.0046,1,0,0.981,0.0043
S35,3,"(30,20,20)",50,I,1,0,1,0,0.999,0.001
S36,3,"(30,20,20)",50,AR(1),0.997,0.0017,1,0,0.996,0.002
S37,3,"(50,30,20)",50,I,1,0,1,0,1,0
S38,3,"(50,30,20)",50,AR(1),1,0,1,0,1,0
S39,3,"(50,30,20)",100,I,1,0,1,0,1,0
S40,3,"(50,30,20)",100,AR(1),1,0,1,0,1,0
