scenario_id,G,nk,p,cov_type,study,R_effective_proposed,R_effective_schott,R_effective_cheng,proposed_size,schott_size,cheng_size,proposed_mcse,schott_mcse,cheng_mcse,proposed_absdev,schott_absdev,cheng_absdev
S01,2,"20,20",30,identity,type1,1000,1000,1000,0.042,0.063,0.04,0.00634318531969546,0.0076831634109916,0.00619677335393187,0.008,0.013,0.01
S02,2,"20,20",30,ar1,type1,1000,1000,1000,0.055,0.068,0.044,0.00720936890441875,0.00796090447122687,0.00648567652600714,0.005,0.018,0.00600000000000001
S03,2,"20,20",50,identity,type1,1000,1000,1000,0.031,0.053,0.034,0.00548078461536302,0.00708456067798138,0.00573096850453743,0.019,0.003,0.016
S04,2,"20,20",50,ar1,type1,1000,1000,1000,0.028,0.062,0.037,0.0052168956286282,0.00762600813007697,0.00596917079668525,0.022,0.012,0.013
S05,2,"30,30",50,identity,type1,1000,1000,1000,0.04,0.059,0.031,0.00619677335393187,0.00745110730026082,0.00548078461536302,0.01,0.009,0.019
S06,2,"30,30",50,ar1,type1,1000,1000,1000,0.044,0.067,0.055,0.00648567652600714,0.00790638982089803,0.00720936890441875,0.00600000000000001,0.017,0.005
S07,2,"30,30",100,identity,type1,1000,1000,1000,0.047,0.057,0.035,0.00669260786241059,0.00733150734842433,0.00581162627841812,0.003,0.007,0.015
S08,2,"30,30",100,ar1,type1,1000,1000,1000,0.042,0.07,0.043,0.00634318531969546,0.00806845710157772,0.00641490451994416,0.008,0.02,0.00700000000000001
S09,2,"50,50",50,identity,type1,1000,1000,1000,0.036,0.057,0.05,0.00589101010014412,0.00733150734842433,0.00689202437604511,0.014,0.007,0
S10,2,"50,50",50,ar1,type1,1000,1000,1000,0.039,0.059,0.043,0.00612200947402077,0.00745110730026082,0.00641490451994416,0.011,0.009,0.00700000000000001
S11,2,"50,50",100,identity,type1,1000,1000,1000,0.047,0.056,0.036,0.00669260786241059,0.00727076337120113,0.00589101010014412,0.003,0.006,0.014
S12,2,"50,50",100,ar1,type1,1000,1000,1000,0.061,0.068,0.051,0.00756828910652864,0.00796090447122687,0.00695693898205238,0.011,0.018,0.000999999999999994
S13,3,"20,20,20",30,identity,type1,1000,1000,1000,0.046,0.064,0.048,0.00662449998113065,0.00773976743836661,0.00675988165576884,0.004,0.014,0.002
S14,3,"20,20,20",30,ar1,type1,1000,1000,1000,0.047,0.066,0.039,0.00669260786241059,0.00785136930732468,0.00612200947402077,0.003,0.016,0.011
S15,3,"20,20,20",50,identity,type1,1000,1000,1000,0.041,0.045,0.047,0.00627048642451285,0.00655553201502365,0.00669260786241059,0.009,0.005,0.003
S16,3,"20,20,20",50,ar1,type1,1000,1000,1000,0.046,0.062,0.046,0.00662449998113065,0.00762600813007697,0.00662449998113065,0.004,0.012,0.004
S17,3,"30,30,30",50,identity,type1,1000,1000,1000,0.048,0.066,0.037,0.00675988165576884,0.00785136930732468,0.00596917079668525,0.002,0.016,0.013
S18,3,"30,30,30",50,ar1,type1,1000,1000,1000,0.042,0.049,0.041,0.00634318531969546,0.00682634602111554,0.00627048642451285,0.008,0.001,0.009
S19,3,"30,30,30",100,identity,type1,1000,1000,1000,0.037,0.059,0.04,0.00596917079668525,0.00745110730026082,0.00619677335393187,0.013,0.009,0.01
S20,3,"30,30,30",100,ar1,type1,1000,1000,1000,0.042,0.056,0.044,0.00634318531969546,0.00727076337120113,0.00648567652600714,0.008,0.006,0.00600000000000001
S21,3,"50,50,50",50,identity,type1,1000,1000,1000,0.044,0.056,0.046,0.00648567652600714,0.00727076337120113,0.00662449998113065,0.00600000000000001,0.006,0.004
S22,3,"50,50,50",50,ar1,type1,1000,1000,1000,0.038,0.057,0.046,0.00604615580348373,0.00733150734842433,0.00662449998113065,0.012,0.007,0.004
S23,3,"50,50,50",100,identity,type1,1000,1000,1000,0.046,0.055,0.035,0.00662449998113065,0.00720936890441875,0.00581162627841812,0.004,0.005,0.015
S24,3,"50,50,50",100,ar1,type1,1000,1000,1000,0.051,0.062,0.041,0.00695693898205238,0.00762600813007697,0.00627048642451285,0.000999999999999994,0.012,0.009
S25,2,"30,20",30,identity,type1,1000,1000,1000,0.041,0.066,0.056,0.00627048642451285,0.00785136930732468,0.00727076337120113,0.009,0.016,0.006
S26,2,"30,20",30,ar1,type1,1000,1000,1000,0.045,0.081,0.043,0.00655553201502365,0.00862780389206894,0.00641490451994416,0.005,0.031,0.00700000000000001
S27,2,"30,20",50,identity,type1,1000,1000,1000,0.044,0.051,0.045,0.00648567652600714,0.00695693898205238,0.00655553201502365,0.00600000000000001,0.000999999999999994,0.005
S28,2,"30,20",50,ar1,type1,1000,1000,1000,0.033,0.059,0.037,0.00564898220921256,0.00745110730026082,0.00596917079668525,0.017,0.009,0.013
S29,2,"50,30",50,identity,type1,1000,1000,1000,0.038,0.049,0.043,0.00604615580348373,0.00682634602111554,0.00641490451994416,0.012,0.001,0.00700000000000001
S30,2,"50,30",50,ar1,type1,1000,1000,1000,0.052,0.072,0.042,0.00702111102319284,0.00817410545564467,0.00634318531969546,0.002,0.022,0.008
S31,2,"50,30",100,identity,type1,1000,1000,1000,0.037,0.054,0.053,0.00596917079668525,0.00714730718522718,0.00708456067798138,0.013,0.004,0.003
S32,2,"50,30",100,ar1,type1,1000,1000,1000,0.052,0.071,0.044,0.00702111102319284,0.00812151463706124,0.00648567652600714,0.002,0.021,0.00600000000000001
S33,3,"30,20,20",30,identity,type1,1000,1000,1000,0.051,0.055,0.041,0.00695693898205238,0.00720936890441875,0.00627048642451285,0.000999999999999994,0.005,0.009
S34,3,"30,20,20",30,ar1,type1,1000,1000,1000,0.043,0.066,0.059,0.00641490451994416,0.00785136930732468,0.00745110730026082,0.00700000000000001,0.016,0.009
S35,3,"30,20,20",50,identity,type1,1000,1000,1000,0.043,0.058,0.046,0.00641490451994416,0.00739161687318817,0.00662449998113065,0.00700000000000001,0.008,0.004
S36,3,"30,20,20",50,ar1,type1,1000,1000,1000,0.039,0.051,0.033,0.00612200947402077,0.00695693898205238,0.00564898220921256,0.011,0.000999999999999994,0.017
S37,3,"50,30,20",50,identity,type1,1000,1000,1000,0.057,0.075,0.048,0.00733150734842433,0.00832916562447884,0.00675988165576884,0.007,0.025,0.002
S38,3,"50,30,20",50,ar1,type1,1000,1000,1000,0.053,0.068,0.05,0.00708456067798138,0.00796090447122687,0.00689202437604511,0.003,0.018,0
S39,3,"50,30,20",100,identity,type1,1000,1000,1000,0.038,0.058,0.04,0.00604615580348373,0.00739161687318817,0.00619677335393187,0.012,0.008,0.01
S40,3,"50,30,20",100,ar1,type1,1000,1000,1000,0.04,0.057,0.051,0.00619677335393187,0.00733150734842433,0.00695693898205238,0.01,0.007,0.000999999999999994
